,mod
1272,Z852
1273,HUAWEI KII-L22
1274,RageZing4.5
1275,SM-A500G
1276,vivo 1724
1277,XT1080
1278,Beeline Smart 3
1279,GT-S6812
1280,lephone_W12
1281,SM-G600FY
1282,D
1283,Micromax A102
1284,NX16A8116K
1285,Wind Tab 10
1286,S50G
1287,QMobile CS1
1288,INTEX AQUA LIONS 3
1289,itel A41 Plus
1290,Lenovo TB3-710I
1291,TECNO-Y6
1292,Fire
1293,YU5510A
1294,QMobile S6S
1295,Z956
1296,SM-J727U
1297,V85
1298,X510
1299,GO984
1300,Flare S5
1301,W_K300
1302,T5524
1303,F3116
1304,SH-01F
1305,itel A44
1306,HUAWEI Y520-U12
1307,LG-M150
1308,Panasonic P77
1309,SM-T230NU
1310,ASUS_Z007
1311,Hisense T963
1312,Z718TL
1313,CPH1729
1314,JS1
1315,Aqua 4.5Pro
1316,LGLS991
1317,MYA-L23
1318,SM-G920V
1319,Lenovo A2010-a
1320,Lenovo A1010a20
1321,GO400
1322,OCEAN MINI
1323,M7SQC_Plus
1324,P11s
1325,Halona
1326,SPH-L720T
1327,Archos Access 50 4G
1328,RCT6773W42B
1329,LGLK430
1330,9008A
1331,SM-S820L
1332,GT-S5312C
1333,Ilium X110
1334,U673C
1335,vivo 1716
1336,B8409
1337,LGLS775
1338,LGL33L
1339,AM509
1340,SM-J200GU
1341,MYA-L22
1342,SC-02H
1343,Redmi Y1
1344,HTC Desire 626 dual sim
1345,SM-T113NU
1346,NYX_SHADE
1347,ASUS_X00BD
1348,GIONEE X1
1349,5044A
1350,ZTE V9820
1351,XT1706
1352,ACEPRO 4G
1353,Micromax E313
1354,Aqua Speed
1355,Z839
1356,M53
1357,SM-T2558
1358,vivo 1723
1359,ST288
1360,HTC One dual sim
1361,A67
1362,ZTE BLADE A601
1363,A97 2GB PLUS
1364,MTECH TURBO 4G
1365,Andromax G36C1H
1366,Aqua 4G Strong
1367,Micromax A79
1368,HTC One X9 dual sim
1369,Ambition
1370,Lenovo A2020a40
1371,X28 Plus
1372,INTEX AQUA AMAZE+
1373,4024D
1374,PGN-508
1375,QMobile X32
1376,EVERCOSS A74C
1377,SM-G350E
1378,Fun Value Lite
1379,SM-G530W
1380,E2043
1381,Micromax AQ5001
1382,Archos 101d Neon
1383,QMobile X700i
1384,QMobile A3
1385,Z982
1386,QMobile X700 PRO Lite
1387,SM-G316HU
1388,LG-H221AR
1389,R1001
1390,SCH-I415
1391,Smart 12 4G plus
1392,YU5010A
1393,GT-S6810
1394,A1601
1395,Nokia 1
1396,M4 SS1050
1397,Micromax A082
1398,LG-M210
1399,ZTE BLADE V0720
1400,SM-J700P
1401,SM-N920V
1402,HUAWEI Y360-U31
1403,SM-J330G
1404,SM-G935V
1405,SM-G935T
1406,LGL84VL
1407,D6708
1408,G3121
1409,GT-I9515
1410,SM-G920T
1411,Azumi_IRO_A5_Q
1412,LG-D157f
1413,5017B
1414,TEAM 7.0
1415,Trio AXS
1416,V110
1417,SP4541-Gemini
1418,ThL W300
1419,LG-H520
1420,Lenovo A5000
1421,4003A
1422,JOIN
1423,HUAWEI LUA-U23
1424,HM NOTE 1LTE
1425,5025G
1426,SM-G530F
1427,C6743
1428,QMobile i1
1429,TRT-L53
1430,B8407
1431,MYA-L13
1432,Lenovo S660
1433,G630-U10
1434,POLYTRON R1500
1435,HTC One X
1436,Blade A475
1437,Micromax E311
1438,lephone_W7_plus
1439,LG-F750K
1440,4G
1441,Seoul ECO
1442,SM-N910V
1443,AM508
1444,Micromax AQ4501
1445,LG-X145
1446,Lenovo S650
1447,Axioo_AX7
